"Targeted Advertising Cookie Opt-Out (TACO)" 499
Clipmarks 499
"Hide Menubar" 499
"Autofill Forms" 499
AniWeather 499
"Pray Times!" 498
"greased lightbox" 498
"FetchMP3 Video to Audio Converter" 498
"Tab Preview" 498
"Multiple Tab Handler" 498
"PDFescape Extension" 498
Fission 498
"RSS Ticker" 498
"SkipScreen -- INCREDIBLE Rapidshare and Megaupload download helper!" 498
Screengrab 498
"1-Click YouTube Video Download" 498
"Russ Key" 497
Googlepedia 497
rikaichan 497
"Dafizilla Table2Clipboard" 497
"Amazon S3 Firefox Organizer(S3Fox)" 497
"Pearl Crescent Page Saver Basic" 497
"Undo Closed Tabs Button" 497
Zindus 497
"Ease Link" 496
Stationery 496
DictionarySearch 496
"YouTube Enabler" 496
LeechBlock 496
"Firefox PDF Plugin for Mac OS X" 496
"Google Contacts" 496
Greasefire 496
"Firefox Showcase" 496
"Provider for Google Calendar" 496
"Flash Game Maximizer" 495
PlainOldFavorites 495
"Flash Killer" 495
CustomizeGoogle 495
"Download status" 495
"YouTube Cinema" 495
"Contacts Sidebar" 495
HttpFox 495
ReloadEvery 495
"Multirow Bookmarks Toolbar" 495
"Roboform Toolbar for Firefox" 494
"Domain Details" 494
"Aviary Screen Capture & Quick Launch (Talon)" 494
Console² 494
GoogleBlack 494
EPUBReader 494
pdfit 494
CyberSearch 494
Pencil 494
CheckPlaces 494
"Default FullZoom Level" 494
"My Facebook" 494
"Smart Bookmarks Bar" 494
"IDM CC" 494
"Gmail Notifier" 494
WeatherBug 494
ColorZilla 494
"Speed Dial" 494
"CuteMenus - Crystal SVG" 493
"Download Sort" 493
"Simple Mail" 493
QuickNote 493
"Last Tab Close Button" 493
"GBookmarks (Google Bookmarks for Firefox)" 493
"SwitchProxy Tool" 493
"Flash Video Resources Downloader" 493
"VideoSurf Videos at a Glance" 493
"Fast YouTube Download" 493
"Meeting scheduler for Gmail" 492
"Firefinder for Firebug" 492
CompactHeader 492
"Remove Duplicate Messages (Alternate)" 492
Meebo 492
"DownThemAll! AntiContainer" 492
"AFOM - Memory Recovery & Retention For Firefox Only" 492
BugMeNot 492
QuickProxy 492
Flashbug 492
StrataBuddy 492
"Text Link" 492
"Keep Tube: Download Youtube Videos (HD 1080p & 720p), Dailymotion, Vimeo, Megavideo, Metacafe, Google, Yahoo, Spike, Myspace, Facebook, Veoh, Break, Current, Redtube videos and more!" 492
"Tamper Data" 492
FlipClock 491
"Cookie Monster" 491
"Google Calendar Tab" 491
SenSEO 491
"Tabs on top" 491
JSONView 491
"Open IT Online" 491
Omnibar 491
Answers 491
"Textarea Cache" 491
"Forecastbar Enhanced" 491
"Modify Headers" 491
"Facebook ChatBar +" 491
QuickJava 491
"Media Converter" 491
"PDF Download" 491
"JavaScript Deobfuscator" 490
"Auto Shutdown" 490
"Toggle Web Developer Toolbar" 490
"Firefox Google Assistant by Surf Canyon" 490
CookieCuller 490
"WebMail Ad Blocker" 490
"Open in IE" 490
"SEO Doctor" 490
Firecookie 490
"JavaScript Debugger" 490
ThunderBrowse 490
"WiseStamp - Email Signature" 490
"<empty profile>" 490
中止ボタンがしいたけに見えて困る 489
"Print/Print Preview" 489
"Stop Autoplay" 489
OpenDownload 489
"Total Validator" 489
AImusic 489
"View Cookies" 489
"XHTML Mobile Profile" 489
Check4Change 489
"Microsoft .NET Framework Assistant" 489
"ImageHost Grabber" 489
"View Source Chart" 489
"Drupal For Firebug" 489
PrintPDF 489
"ChromaTabs Plus" 489
"CodeBurner for Firebug" 489
"Organize Status Bar" 489
MeasureIt 489
"Better Gmail 2" 489
"Amazon Universal Wish List" 489
"Boost for Facebook" 489
"IE View" 489
Flashblock 489
EditCSS 488
"Make Address Bar Font Size Bigger" 488
"Broadband Speed Test and Diagnostics" 488
Image-Show-Hide 488
"Locale Switcher" 488
"Megaupload SX.3.2" 488
Quicktext 488
"Yet Another Smooth Scrolling" 488
RefControl 488
AutoCopy 488
"Tab Progress Bar" 488
Subtile 488
FaceMoods 488
"Embedded Objects" 488
FireDownload 488
"<empty profile>" 488
"Redirect Remover" 487
"Search Files on Rapidshare Megaupload Mediafire 4shared Easy-Share and Co" 487
"CHM Reader" 487
"Image Toolbar" 487
LookOut 487
"Ebook PDF Search Engine and Viewer Toolbar" 487
LightningButton 487
"Better GReader" 487
"Capture Fox" 487
"Better YouTube" 487
"flv movies downloader" 487
Linkification 487
OptimizeGoogle 487
"MegaUpload DownloadHelper" 487
"FacePAD: Facebook Photo Album Downloader" 487
"Smart Stop/Reload" 487
"Password Exporter" 487
"Java Console 6.0.02" 487
"Babylon Dictionary Word Search" 486
"Addictive Typing Lessons" 486
BarTab 486
GMarks 486
"Menu Editor" 486
"Add to Search Bar" 486
"Text to Voice" 486
UnPlug 486
ChatZilla 486
"Adblock Plus: Element Hiding Helper" 486
"User Agent Switcher" 486
refspoof 485
"Full Fullscreen" 485
NewTabURL 485
"Gladiatus Tools" 485
InFormEnter 485
"Thunderbird Message Filter Import/Export" 485
"CSS Usage" 485
"Blank Canvas Gmail Signatures" 485
"Save Images" 485
"Mozilla Labs - Prism" 485
"Download YouTube As MP4" 485
"DOM Inspector" 485
"Dr.Web anti-virus link checker" 485
BlockSite 485
ShowIP 485
"Live HTTP Headers" 485
"Display Mail User Agent" 484
RightToClick 484
Fox!Box 484
Stealther 484
QuickRestart 484
"Tab Sidebar" 484
"Offer Assistant" 484
"Google Translator for Firefox" 484
"YouTube Video Downloader" 484
"SQLite Manager" 484
"New Tab Homepage" 484
CacheViewer 484
TrashMail.net 483
